timestamp,ax,ay,az
2026-01-28 16:40:44,1.355,-0.259,-10.435
2026-01-28 16:40:44,1.404,-0.232,-10.378
2026-01-28 16:40:44,1.25,-0.22,-10.388
2026-01-28 16:40:44,1.321,-0.227,-10.32
2026-01-28 16:40:44,1.299,-0.276,-10.288
2026-01-28 16:40:44,1.348,-0.239,-10.474
2026-01-28 16:40:44,1.379,-0.278,-10.447
2026-01-28 16:40:44,1.365,-0.227,-10.435
2026-01-28 16:40:44,1.267,-0.269,-10.349
2026-01-28 16:40:44,1.289,-0.337,-10.444
2026-01-28 16:40:44,1.301,-0.303,-10.481
2026-01-28 16:40:44,1.27,-0.31,-10.415
2026-01-28 16:40:44,1.267,-0.288,-10.325
2026-01-28 16:40:44,1.296,-0.298,-10.4
2026-01-28 16:40:44,1.282,-0.325,-10.444
2026-01-28 16:40:44,1.333,-0.203,-10.354
2026-01-28 16:40:44,1.316,-0.293,-10.374
2026-01-28 16:40:44,1.331,-0.205,-10.417
2026-01-28 16:40:44,1.321,-0.249,-10.352
2026-01-28 16:40:44,1.267,-0.305,-10.396
2026-01-28 16:40:44,1.392,-0.266,-10.354
2026-01-28 16:40:44,1.365,-0.322,-10.4
2026-01-28 16:40:44,1.37,-0.278,-10.327
2026-01-28 16:40:44,1.265,-0.278,-10.195
2026-01-28 16:40:44,1.323,-0.225,-10.54
2026-01-28 16:40:44,1.428,-0.164,-10.464
2026-01-28 16:40:44,1.333,-0.31,-10.354
2026-01-28 16:40:44,1.165,-0.273,-10.425
2026-01-28 16:40:44,1.35,-0.261,-10.391
2026-01-28 16:40:44,1.313,-0.249,-10.552
2026-01-28 16:40:44,1.191,-0.349,-10.371
2026-01-28 16:40:44,1.182,-0.308,-10.483
2026-01-28 16:40:44,1.15,-0.288,-10.388
2026-01-28 16:40:44,1.301,-0.325,-10.386
2026-01-28 16:40:44,1.265,-0.283,-10.371
2026-01-28 16:40:44,1.423,-0.256,-10.41
2026-01-28 16:40:44,1.392,-0.242,-10.483
2026-01-28 16:40:44,1.26,-0.293,-10.369
2026-01-28 16:40:44,1.353,-0.22,-10.425
2026-01-28 16:40:44,1.213,-0.32,-10.378
2026-01-28 16:40:44,1.492,-0.261,-10.298
2026-01-28 16:40:44,1.194,-0.327,-10.393
2026-01-28 16:40:44,1.421,-0.232,-10.396
2026-01-28 16:40:44,1.311,-0.271,-10.469
2026-01-28 16:40:44,1.445,-0.225,-10.369
2026-01-28 16:40:44,1.24,-0.259,-10.461
2026-01-28 16:40:44,1.357,-0.315,-10.461
2026-01-28 16:40:44,1.399,-0.171,-10.405
2026-01-28 16:40:44,1.355,-0.256,-10.408
2026-01-28 16:40:44,1.265,-0.242,-10.374
2026-01-28 16:40:44,1.208,-0.303,-10.413
2026-01-28 16:40:44,1.199,-0.317,-10.354
2026-01-28 16:40:44,1.204,-0.288,-10.398
2026-01-28 16:40:44,1.24,-0.249,-10.474
2026-01-28 16:40:44,1.428,-0.256,-10.432
2026-01-28 16:40:44,1.194,-0.303,-10.364
2026-01-28 16:40:44,1.345,-0.261,-10.393
2026-01-28 16:40:44,1.37,-0.291,-10.43
2026-01-28 16:40:44,1.396,-0.232,-10.444
2026-01-28 16:40:44,1.309,-0.269,-10.378
2026-01-28 16:40:44,1.204,-0.266,-10.479
2026-01-28 16:40:44,1.401,-0.254,-10.398
2026-01-28 16:40:44,1.384,-0.234,-10.405
2026-01-28 16:40:44,1.34,-0.183,-10.356
2026-01-28 16:40:44,1.331,-0.256,-10.371
2026-01-28 16:40:44,1.436,-0.249,-10.376
2026-01-28 16:40:44,1.426,-0.215,-10.398
2026-01-28 16:40:44,1.365,-0.256,-10.442
2026-01-28 16:40:44,1.199,-0.364,-10.422
2026-01-28 16:40:44,1.406,-0.271,-10.315
2026-01-28 16:40:44,1.226,-0.281,-10.437
2026-01-28 16:40:44,1.221,-0.303,-10.422
2026-01-28 16:40:44,1.216,-0.278,-10.374
2026-01-28 16:40:44,1.409,-0.227,-10.396
2026-01-28 16:40:44,1.35,-0.247,-10.339
2026-01-28 16:40:44,1.323,-0.261,-10.332
2026-01-28 16:40:44,1.36,-0.242,-10.425
2026-01-28 16:40:44,1.211,-0.276,-10.374
2026-01-28 16:40:44,1.338,-0.312,-10.503
2026-01-28 16:40:44,1.401,-0.22,-10.505
2026-01-28 16:40:44,1.436,-0.234,-10.454
2026-01-28 16:40:44,1.262,-0.317,-10.369
2026-01-28 16:40:44,1.411,-0.208,-10.393
2026-01-28 16:40:44,1.272,-0.325,-10.352
2026-01-28 16:40:44,1.321,-0.315,-10.449
2026-01-28 16:40:45,1.23,-0.281,-10.369
2026-01-28 16:40:45,1.313,-0.266,-10.422
2026-01-28 16:40:45,1.416,-0.227,-10.388
2026-01-28 16:40:45,1.416,-0.281,-10.337
2026-01-28 16:40:45,1.27,-0.291,-10.356
2026-01-28 16:40:45,1.255,-0.315,-10.427
2026-01-28 16:40:45,1.292,-0.242,-10.405
2026-01-28 16:40:45,1.218,-0.259,-10.425
2026-01-28 16:40:45,1.313,-0.31,-10.308
2026-01-28 16:40:45,1.292,-0.254,-10.461
2026-01-28 16:40:45,1.487,-0.225,-10.391
2026-01-28 16:40:45,1.272,-0.269,-10.371
2026-01-28 16:40:45,1.318,-0.264,-10.342
2026-01-28 16:40:45,1.27,-0.254,-10.4
2026-01-28 16:40:45,1.313,-0.317,-10.352
2026-01-28 16:40:45,1.299,-0.2,-10.391
2026-01-28 16:40:45,1.223,-0.286,-10.425
2026-01-28 16:40:45,1.414,-0.22,-10.42
2026-01-28 16:40:45,1.414,-0.249,-10.52
2026-01-28 16:40:45,1.245,-0.271,-10.32
2026-01-28 16:40:45,1.257,-0.259,-10.415
2026-01-28 16:40:45,1.36,-0.305,-10.425
2026-01-28 16:40:45,1.292,-0.291,-10.427
2026-01-28 16:40:45,1.345,-0.298,-10.334
2026-01-28 16:40:45,1.34,-0.269,-10.339
2026-01-28 16:40:45,1.377,-0.291,-10.469
2026-01-28 16:40:45,1.365,-0.266,-10.354
2026-01-28 16:40:45,1.248,-0.298,-10.452
2026-01-28 16:40:45,1.316,-0.225,-10.447
2026-01-28 16:40:45,1.23,-0.295,-10.544
2026-01-28 16:40:45,1.191,-0.283,-10.361
2026-01-28 16:40:45,1.428,-0.261,-10.52
2026-01-28 16:40:45,1.299,-0.256,-10.327
2026-01-28 16:40:45,1.365,-0.286,-10.427
2026-01-28 16:40:45,1.416,-0.242,-10.398
2026-01-28 16:40:45,1.326,-0.259,-10.413
2026-01-28 16:40:45,1.199,-0.225,-10.471
2026-01-28 16:40:45,1.221,-0.22,-10.42
2026-01-28 16:40:45,1.309,-0.266,-10.303
2026-01-28 16:40:45,1.27,-0.242,-10.464
2026-01-28 16:40:45,1.201,-0.303,-10.42
2026-01-28 16:40:45,1.504,-0.229,-10.354
2026-01-28 16:40:45,1.421,-0.298,-10.315
2026-01-28 16:40:45,1.257,-0.278,-10.381
2026-01-28 16:40:45,1.448,-0.259,-10.378
2026-01-28 16:40:45,1.304,-0.31,-10.403
2026-01-28 16:40:45,1.289,-0.273,-10.383
2026-01-28 16:40:45,1.182,-0.315,-10.474
2026-01-28 16:40:45,1.423,-0.168,-10.288
2026-01-28 16:40:45,1.313,-0.227,-10.347
2026-01-28 16:40:45,1.37,-0.22,-10.383
2026-01-28 16:40:45,1.387,-0.227,-10.286
2026-01-28 16:40:45,1.421,-0.232,-10.388
2026-01-28 16:40:45,1.409,-0.212,-10.273
2026-01-28 16:40:45,1.414,-0.2,-10.393
2026-01-28 16:40:45,1.262,-0.249,-10.378
2026-01-28 16:40:45,1.257,-0.295,-10.386
2026-01-28 16:40:45,1.416,-0.232,-10.378
2026-01-28 16:40:45,1.284,-0.293,-10.439
2026-01-28 16:40:45,1.426,-0.276,-10.344
2026-01-28 16:40:45,1.299,-0.303,-10.43
2026-01-28 16:40:45,1.45,-0.315,-10.415
2026-01-28 16:40:45,1.367,-0.234,-10.405
2026-01-28 16:40:45,1.172,-0.293,-10.281
2026-01-28 16:40:45,1.35,-0.288,-10.439
2026-01-28 16:40:45,1.45,-0.232,-10.54
2026-01-28 16:40:45,1.255,-0.325,-10.408
2026-01-28 16:40:45,1.277,-0.21,-10.327
2026-01-28 16:40:45,1.25,-0.271,-10.405
2026-01-28 16:40:45,1.428,-0.232,-10.352
2026-01-28 16:40:45,1.37,-0.251,-10.42
2026-01-28 16:40:45,1.272,-0.3,-10.339
2026-01-28 16:40:45,1.458,-0.237,-10.408
2026-01-28 16:40:45,1.394,-0.295,-10.432
2026-01-28 16:40:45,1.35,-0.205,-10.381
2026-01-28 16:40:45,1.475,-0.264,-10.425
2026-01-28 16:40:45,1.313,-0.283,-10.42
2026-01-28 16:40:45,1.375,-0.183,-10.332
2026-01-28 16:40:45,1.172,-0.254,-10.488
2026-01-28 16:40:45,1.399,-0.266,-10.381
2026-01-28 16:40:45,1.396,-0.173,-10.454
2026-01-28 16:40:45,1.375,-0.156,-10.437
2026-01-28 16:40:45,1.267,-0.273,-10.435
2026-01-28 16:40:45,1.394,-0.193,-10.464
2026-01-28 16:40:45,1.34,-0.266,-10.342
2026-01-28 16:40:45,1.399,-0.217,-10.359
